"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 20, 2008","13,147.90","13,842.70","13,876.10","13,072.80","391.21M","-7.69%"
"Mar 19, 2008","14,243.40","14,144.70","14,374.40","14,144.70","216.84M","2.24%"
"Mar 18, 2008","13,931.60","14,167.50","14,167.50","13,888.70","167.11M","-3.07%"
"Mar 17, 2008","14,372.80","14,431.00","14,644.60","14,303.80","165.74M","-1.04%"
"Mar 14, 2008","14,524.30","14,189.30","14,562.50","14,188.90","159.96M","3.34%"
"Mar 13, 2008","14,054.30","14,284.00","14,299.00","14,022.60","135.65M","-1.29%"
"Mar 12, 2008","14,237.30","14,124.20","14,537.70","14,124.20","209.87M","2.75%"
"Mar 11, 2008","13,855.80","14,323.40","14,337.80","13,821.60","238.23M","-5.02%"
"Mar 10, 2008","14,588.80","14,936.60","14,936.60","14,484.40","143.01M","-3.41%"
"Mar 07, 2008","15,103.40","15,317.30","15,334.40","15,001.20","177.50M","-2.00%"
"Mar 06, 2008","15,411.90","15,283.60","15,448.60","15,283.40","151.35M","1.80%"
"Mar 05, 2008","15,139.00","15,107.10","15,328.70","15,084.30","171.29M","0.79%"
"Mar 04, 2008","15,020.10","15,127.30","15,197.40","14,955.10","202.00M","-0.40%"
"Mar 03, 2008","15,080.40","15,229.90","15,243.20","14,992.60","196.85M","-1.81%"
"Feb 29, 2008","15,358.40","15,300.50","15,389.30","15,135.70","231.00M","0.66%"
"Feb 28, 2008","15,257.40","15,331.10","15,333.40","15,150.10","177.99M","-0.72%"
"Feb 27, 2008","15,367.40","15,077.20","15,372.00","15,077.20","152.76M","2.47%"
"Feb 26, 2008","14,997.40","15,121.40","15,240.30","14,973.70","149.29M","-0.78%"
"Feb 25, 2008","15,115.10","15,182.50","15,251.70","15,031.60","143.73M","-0.32%"
"Feb 22, 2008","15,163.50","15,005.80","15,191.60","14,893.40","155.15M","1.02%"
"Feb 21, 2008","15,009.80","14,850.10","15,009.80","14,763.10","146.20M","1.81%"
"Feb 20, 2008","14,743.60","15,009.00","15,082.50","14,741.60","178.05M","-1.70%"
"Feb 19, 2008","14,998.70","15,019.00","15,180.90","14,998.70","168.89M","1.10%"
"Feb 18, 2008","14,834.90","14,871.70","14,901.80","14,730.90","139.68M","-0.26%"
"Feb 15, 2008","14,873.30","14,710.60","14,963.50","14,560.60","127.91M","0.25%"
"Feb 14, 2008","14,836.70","14,484.80","14,836.70","14,484.80","179.48M","3.66%"
"Feb 13, 2008","14,313.10","14,308.20","14,457.00","14,295.20","149.87M","0.81%"
"Feb 12, 2008","14,198.70","13,902.10","14,204.10","13,900.10","127.60M","2.62%"
"Feb 11, 2008","13,836.10","14,094.70","14,119.60","13,789.60","98.37M","-1.31%"
"Feb 08, 2008","14,019.70","14,121.90","14,248.00","13,933.50","97.37M","-0.51%"
"Feb 07, 2008","14,091.50","14,020.50","14,115.50","13,832.60","140.67M","0.38%"
"Feb 06, 2008","14,038.70","14,707.40","14,710.70","13,972.40","163.33M","-4.70%"
"Feb 05, 2008","14,730.70","14,869.50","14,954.50","14,685.40","136.85M","-0.25%"
"Feb 04, 2008","14,767.60","14,498.30","15,020.90","14,498.30","197.26M","1.86%"
"Feb 01, 2008","14,497.50","14,085.40","14,561.50","14,068.70","151.08M","3.68%"
"Jan 31, 2008","13,982.30","13,731.10","13,982.30","13,371.60","241.43M","2.12%"
"Jan 30, 2008","13,691.60","13,782.60","14,079.70","13,672.60","141.02M","0.71%"
"Jan 29, 2008","13,595.50","13,913.40","13,937.20","13,520.10","150.07M","-2.37%"
"Jan 25, 2008","13,925.70","13,329.70","13,925.70","13,322.60","224.45M","5.70%"
"Jan 24, 2008","13,174.50","13,058.40","13,228.80","13,005.80","173.68M","2.12%"
"Jan 23, 2008","12,901.40","11,939.60","12,996.40","11,939.60","276.36M","8.16%"
"Jan 22, 2008","11,928.20","12,709.90","12,709.90","11,928.20","335.82M","-8.55%"
"Jan 21, 2008","13,044.10","13,497.60","13,540.60","13,044.10","144.72M","-3.71%"
"Jan 18, 2008","13,546.50","13,571.60","13,638.30","13,278.40","178.36M","-3.03%"
"Jan 17, 2008","13,970.00","14,057.50","14,093.20","13,937.90","180.85M","-1.79%"
"Jan 16, 2008","14,224.80","14,651.10","14,667.30","14,147.80","206.84M","-3.02%"
"Jan 15, 2008","14,667.30","14,704.60","14,815.30","14,572.20","195.14M","0.88%"
"Jan 14, 2008","14,539.50","14,508.00","14,652.20","14,428.00","152.32M","-0.13%"
"Jan 11, 2008","14,558.80","14,778.60","14,808.60","14,558.80","142.88M","-1.35%"
"Jan 10, 2008","14,758.60","14,723.90","14,803.50","14,653.50","154.71M","-0.15%"
"Jan 09, 2008","14,780.90","14,639.80","14,780.90","14,554.80","160.52M","0.72%"
"Jan 08, 2008","14,675.50","14,768.00","14,815.20","14,672.10","116.54M","-1.33%"
"Jan 07, 2008","14,873.90","15,077.20","15,077.20","14,829.10","93.00M","-2.56%"
"Jan 04, 2008","15,264.30","15,260.80","15,342.50","15,167.40","101.40M","1.06%"
"Jan 03, 2008","15,103.70","15,056.10","15,105.80","14,962.50","86.16M","-0.04%"
"Jan 02, 2008","15,109.50","15,005.20","15,205.50","15,005.20","50.83M","0.62%"
"Dec 31, 2007","15,016.50","15,110.40","15,129.10","14,999.90","48.23M","-0.57%"
"Dec 28, 2007","15,103.20","15,043.50","15,103.20","14,965.30","95.87M","-0.27%"
"Dec 27, 2007","15,144.60","15,054.20","15,170.20","15,046.70","69.49M","1.53%"
"Dec 24, 2007","14,917.00","14,788.10","14,932.60","14,774.30","62.23M","2.13%"
"Dec 21, 2007","14,605.90","14,506.10","14,734.80","14,494.00","243.13M","0.97%"
"Dec 20, 2007","14,465.40","14,669.50","14,690.20","14,465.40","237.85M","-1.11%"
"Dec 19, 2007","14,628.00","14,740.60","14,763.20","14,614.10","166.74M","0.26%"
"Dec 18, 2007","14,589.90","14,651.10","14,651.10","14,238.50","170.02M","-1.16%"
"Dec 17, 2007","14,761.30","15,147.20","15,177.70","14,761.30","149.20M","-3.72%"
"Dec 14, 2007","15,332.00","15,631.10","15,648.80","15,232.20","145.54M","-2.61%"
"Dec 13, 2007","15,742.20","15,803.70","15,844.60","15,249.60","144.87M","0.01%"
