"Date","Price","Open","High","Low","Vol.","Change %"
"May 13, 2013","1,738.58","1,730.70","1,745.40","1,727.80","26.48M","0.46%"
"May 10, 2013","1,730.66","1,737.50","1,741.80","1,725.70","35.64M","-0.39%"
"May 09, 2013","1,737.51","1,749.30","1,758.60","1,734.20","52.42M","-0.68%"
"May 08, 2013","1,749.34","1,728.20","1,752.70","1,728.20","36.64M","1.22%"
"May 07, 2013","1,728.18","1,745.20","1,751.50","1,728.10","33.97M","-0.98%"
"May 06, 2013","1,745.22","1,754.30","1,758.70","1,745.10","36.41M","-0.52%"
"May 03, 2013","1,754.30","1,743.00","1,754.30","1,724.70","59.58M","0.65%"
"May 02, 2013","1,743.05","1,733.20","1,753.20","1,732.90","43.74M","0.57%"
"May 01, 2013","1,733.22","1,716.70","1,733.50","1,716.70","31.83M","0.96%"
"Apr 30, 2013","1,716.71","1,699.40","1,723.40","1,699.40","49.86M","1.02%"
"Apr 29, 2013","1,699.39","1,695.00","1,703.00","1,691.20","20.13M","0.26%"
"Apr 26, 2013","1,695.05","1,681.10","1,698.40","1,680.90","29.16M","0.83%"
"Apr 24, 2013","1,681.07","1,667.90","1,692.40","1,661.50","84.94M","0.79%"
"Apr 23, 2013","1,667.93","1,641.40","1,674.40","1,641.40","51.66M","1.62%"
"Apr 22, 2013","1,641.38","1,640.30","1,650.60","1,630.90","39.59M","0.06%"
"Apr 19, 2013","1,640.35","1,650.40","1,663.70","1,636.90","40.41M","-0.61%"
"Apr 18, 2013","1,650.41","1,661.00","1,687.10","1,640.30","86.75M","-0.64%"
"Apr 17, 2013","1,661.04","1,615.70","1,667.60","1,615.70","69.83M","2.81%"
"Apr 16, 2013","1,615.70","1,602.00","1,615.70","1,601.60","44.40M","0.86%"
"Apr 15, 2013","1,601.97","1,589.50","1,602.10","1,589.30","32.51M","0.79%"
"Apr 12, 2013","1,589.45","1,585.50","1,594.30","1,582.80","29.79M","0.25%"
"Apr 11, 2013","1,585.49","1,575.50","1,589.20","1,575.50","66.08M","0.63%"
"Apr 10, 2013","1,575.49","1,577.50","1,577.50","1,558.40","42.10M","-0.13%"
"Apr 09, 2013","1,577.49","1,546.00","1,577.50","1,546.00","61.13M","2.03%"
"Apr 08, 2013","1,546.03","1,559.30","1,562.30","1,546.00","32.72M","-0.85%"
"Apr 05, 2013","1,559.30","1,562.40","1,566.10","1,553.80","42.60M","-0.20%"
"Apr 04, 2013","1,562.42","1,562.80","1,565.70","1,552.20","36.36M","-0.03%"
"Apr 03, 2013","1,562.82","1,542.50","1,562.90","1,542.50","48.10M","1.32%"
"Apr 02, 2013","1,542.47","1,551.10","1,561.70","1,542.50","43.51M","-1.02%"
"Apr 01, 2013","1,558.40","1,551.10","1,561.70","1,550.20","-","0.47%"
"Mar 28, 2013","1,551.10","1,564.00","1,564.10","1,551.10","49.05M","-0.83%"
"Mar 27, 2013","1,564.01","1,539.80","1,564.00","1,539.80","45.42M","1.57%"
"Mar 26, 2013","1,539.79","1,550.40","1,550.60","1,533.20","43.86M","-0.68%"
"Mar 25, 2013","1,550.35","1,556.80","1,567.80","1,550.40","27.65M","-0.99%"
"Mar 24, 2013","1,565.80","1,556.80","1,567.80","1,556.80","-","0.58%"
"Mar 22, 2013","1,556.84","1,559.20","1,559.40","1,549.00","32.02M","-0.15%"
"Mar 21, 2013","1,559.24","1,558.00","1,569.20","1,558.00","71.30M","0.08%"
"Mar 20, 2013","1,557.97","1,544.30","1,561.40","1,538.20","44.65M","0.89%"
"Mar 19, 2013","1,544.25","1,542.90","1,551.60","1,541.20","31.85M","0.09%"
"Mar 18, 2013","1,542.89","1,545.10","1,556.90","1,533.50","43.32M","-0.44%"
"Mar 17, 2013","1,549.70","1,545.10","1,551.80","1,533.50","-","0.30%"
"Mar 15, 2013","1,545.09","1,534.20","1,551.10","1,528.10","46.83M","0.71%"
"Mar 14, 2013","1,534.24","1,550.70","1,557.90","1,531.00","77.12M","-1.06%"
"Mar 13, 2013","1,550.67","1,535.00","1,550.90","1,521.30","58.51M","1.02%"
"Mar 12, 2013","1,535.04","1,551.60","1,555.30","1,535.00","42.14M","-1.07%"
"Mar 11, 2013","1,551.58","1,534.90","1,551.60","1,528.40","49.93M","1.30%"
"Mar 10, 2013","1,531.70","1,534.90","1,538.40","1,531.70","-","-0.21%"
"Mar 08, 2013","1,534.92","1,555.00","1,555.00","1,534.80","70.33M","-1.29%"
"Mar 07, 2013","1,555.01","1,564.70","1,570.00","1,548.70","35.90M","-0.62%"
"Mar 06, 2013","1,564.68","1,564.20","1,577.80","1,561.40","40.87M","0.03%"
"Mar 05, 2013","1,564.19","1,547.00","1,570.90","1,547.00","38.52M","1.11%"
"Mar 04, 2013","1,547.03","1,550.70","1,554.20","1,543.80","31.54M","-0.12%"
"Mar 03, 2013","1,548.90","1,550.70","1,550.80","1,543.80","-","-0.12%"
"Mar 01, 2013","1,550.74","1,571.40","1,571.60","1,541.00","49.69M","-1.32%"
"Feb 28, 2013","1,571.42","1,577.80","1,581.60","1,558.30","56.26M","-0.40%"
"Feb 27, 2013","1,577.79","1,571.40","1,581.50","1,571.00","24.19M","0.40%"
"Feb 26, 2013","1,571.43","1,578.30","1,578.30","1,566.50","33.52M","-0.44%"
"Feb 25, 2013","1,578.31","1,560.60","1,578.30","1,560.60","34.32M","0.55%"
"Feb 24, 2013","1,569.70","1,560.60","1,571.40","1,560.60","-","0.58%"
"Feb 22, 2013","1,560.63","1,540.00","1,573.60","1,540.00","73.90M","1.34%"
"Feb 21, 2013","1,539.96","1,579.60","1,580.10","1,540.00","59.26M","-1.27%"
"Feb 20, 2013","1,559.81","1,585.10","1,591.50","1,559.50","62.60M","-1.60%"
"Feb 19, 2013","1,585.11","1,565.60","1,585.10","1,560.20","76.03M","1.25%"
"Feb 18, 2013","1,565.56","1,584.20","1,584.50","1,532.70","276.59M","1.18%"
"Feb 17, 2013","1,547.30","1,584.20","1,584.50","1,532.70","-","-2.33%"
"Feb 15, 2013","1,584.24","1,587.30","1,590.70","1,580.20","52.01M","-0.19%"
"Feb 14, 2013","1,587.26","1,587.50","1,597.20","1,586.60","44.95M","-0.02%"
"Feb 13, 2013","1,587.52","1,583.80","1,597.10","1,583.80","40.39M","0.23%"
"Feb 12, 2013","1,583.83","1,580.40","1,594.00","1,580.40","32.11M","0.22%"
"Feb 11, 2013","1,580.40","1,581.40","1,590.90","1,580.40","33.80M","-0.36%"
"Feb 10, 2013","1,586.10","1,581.40","1,587.90","1,581.10","-","0.30%"
"Feb 08, 2013","1,581.37","1,587.30","1,587.90","1,578.00","55.99M","-0.37%"
"Feb 07, 2013","1,587.32","1,568.30","1,594.10","1,561.90","60.30M","1.22%"
"Feb 06, 2013","1,568.26","1,579.70","1,583.70","1,567.50","65.04M","-0.72%"
"Feb 05, 2013","1,579.68","1,593.50","1,593.50","1,575.90","40.21M","-0.86%"
"Feb 04, 2013","1,593.46","1,591.10","1,604.20","1,591.10","33.52M","-0.56%"
"Feb 03, 2013","1,602.50","1,591.10","1,604.20","1,591.10","-","0.72%"
"Feb 01, 2013","1,591.08","1,574.60","1,594.20","1,574.60","42.65M","1.05%"
"Jan 31, 2013","1,574.56","1,570.90","1,581.30","1,567.60","40.53M","0.23%"
"Jan 30, 2013","1,570.89","1,597.40","1,600.90","1,570.90","38.73M","-1.66%"
