"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 28, 2012","926.38","930.90","935.00","926.40","127.50M","-0.48%"
"Sep 27, 2012","930.86","932.00","932.60","926.30","104.64M","-0.13%"
"Sep 26, 2012","932.04","927.60","933.20","926.00","83.24M","0.47%"
"Sep 25, 2012","927.68","929.50","935.70","926.20","66.35M","-0.19%"
"Sep 24, 2012","929.48","928.80","935.30","927.90","103.94M","0.07%"
"Sep 21, 2012","928.85","926.20","935.70","926.20","195.77M","0.27%"
"Sep 20, 2012","926.31","921.20","930.70","919.10","180.52M","0.55%"
"Sep 19, 2012","921.21","924.60","931.40","921.20","189.68M","-0.36%"
"Sep 18, 2012","924.58","932.70","932.70","922.70","103.77M","-0.87%"
"Sep 17, 2012","932.69","935.30","936.70","930.50","61.30M","-0.28%"
"Sep 14, 2012","935.35","933.80","941.00","933.50","78.36M","0.19%"
"Sep 13, 2012","933.57","939.20","939.20","928.80","55.85M","-0.60%"
"Sep 12, 2012","939.16","930.30","943.50","930.30","66.01M","0.95%"
"Sep 11, 2012","930.30","932.90","933.10","928.50","64.71M","-0.29%"
"Sep 10, 2012","933.00","944.60","944.60","929.90","83.87M","-1.22%"
"Sep 07, 2012","944.56","945.80","949.70","944.60","93.04M","-0.14%"
"Sep 06, 2012","945.84","936.70","949.40","936.70","112.35M","0.98%"
"Sep 05, 2012","936.70","926.30","939.60","926.20","169.19M","1.13%"
"Sep 04, 2012","926.26","924.30","927.80","923.50","105.68M","0.22%"
"Sep 03, 2012","924.26","914.40","926.20","914.40","76.85M","1.08%"
"Aug 31, 2012","914.40","921.00","921.70","912.90","180.63M","-0.71%"
"Aug 30, 2012","920.96","922.20","925.20","919.00","206.49M","-0.13%"
"Aug 29, 2012","922.18","913.90","924.50","913.80","106.58M","0.91%"
"Aug 28, 2012","913.90","912.20","918.70","912.10","94.92M","0.22%"
"Aug 27, 2012","911.92","914.20","920.20","910.90","83.12M","-0.23%"
"Aug 24, 2012","914.00","920.00","920.40","913.70","61.20M","-0.66%"
"Aug 23, 2012","920.03","924.00","927.10","920.00","100.64M","-0.43%"
"Aug 22, 2012","923.96","915.30","924.00","915.30","99.38M","0.95%"
"Aug 21, 2012","915.31","916.10","919.90","914.70","86.10M","-0.09%"
"Aug 20, 2012","916.12","920.80","925.00","916.10","71.61M","-0.51%"
"Aug 17, 2012","920.78","914.30","920.80","913.50","101.34M","0.71%"
"Aug 16, 2012","914.30","914.40","918.30","912.40","138.90M","-0.01%"
"Aug 15, 2012","914.41","913.50","918.90","909.90","124.51M","0.10%"
"Aug 14, 2012","913.48","910.80","921.30","908.20","98.91M","0.30%"
"Aug 13, 2012","910.77","913.10","919.70","906.00","121.99M","-0.25%"
"Aug 10, 2012","913.08","914.20","918.90","913.10","109.59M","-0.13%"
"Aug 09, 2012","914.25","922.90","926.10","914.20","88.95M","-0.94%"
"Aug 08, 2012","922.95","927.80","928.70","919.60","147.62M","-0.52%"
"Aug 07, 2012","927.81","924.90","928.50","921.60","83.59M","0.31%"
"Aug 06, 2012","924.90","920.20","928.60","920.20","40.94M","0.51%"
"Aug 03, 2012","920.20","922.30","923.50","918.40","90.13M","-0.23%"
"Aug 02, 2012","922.30","924.00","925.00","919.10","91.24M","-0.18%"
"Aug 01, 2012","923.95","926.20","933.30","920.70","108.41M","-0.25%"
"Jul 31, 2012","926.22","915.40","928.50","911.10","131.47M","1.19%"
"Jul 30, 2012","915.37","907.70","920.90","907.70","85.41M","0.85%"
"Jul 27, 2012","907.67","898.10","907.70","898.10","109.28M","1.06%"
"Jul 26, 2012","898.13","892.90","898.90","891.80","104.72M","0.58%"
"Jul 25, 2012","892.95","898.40","898.70","888.30","106.43M","-0.61%"
"Jul 24, 2012","898.45","902.40","906.00","896.40","92.21M","-0.44%"
"Jul 23, 2012","902.39","907.40","908.00","901.00","79.70M","-0.55%"
"Jul 20, 2012","907.37","903.30","908.00","902.20","89.86M","0.46%"
"Jul 19, 2012","903.26","890.90","903.30","890.90","117.07M","1.38%"
"Jul 18, 2012","890.94","892.10","896.40","890.90","81.90M","-0.13%"
"Jul 17, 2012","892.14","885.40","896.20","885.10","84.73M","0.76%"
"Jul 16, 2012","885.38","886.70","892.60","885.38","57.07M","-0.15%"
"Jul 13, 2012","886.74","878.70","894.50","877.80","76.33M","0.92%"
"Jul 12, 2012","878.68","886.00","888.10","878.68","75.00M","-0.83%"
"Jul 11, 2012","885.99","882.50","887.30","877.20","96.50M","0.40%"
"Jul 10, 2012","882.47","874.10","885.50","873.80","70.34M","0.95%"
"Jul 09, 2012","874.15","877.80","878.10","871.00","63.16M","-0.41%"
"Jul 06, 2012","877.75","882.90","883.50","877.80","64.34M","-0.58%"
