"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 12, 2007","6,954.50","6,992.70","7,038.40","6,952.50","171.65M","-0.35%"
"Sep 11, 2007","6,979.10","6,922.20","7,013.80","6,922.20","156.68M","0.88%"
"Sep 10, 2007","6,918.30","6,980.90","6,980.90","6,865.00","138.93M","-1.33%"
"Sep 07, 2007","7,011.50","7,022.00","7,027.90","6,983.50","93.86M","-0.17%"
"Sep 06, 2007","7,023.50","7,050.30","7,052.90","6,961.20","149.60M","-0.64%"
"Sep 05, 2007","7,068.40","7,136.20","7,184.00","7,041.40","201.88M","-0.81%"
"Sep 04, 2007","7,126.40","7,076.70","7,147.00","7,072.60","163.43M","0.68%"
"Sep 03, 2007","7,078.30","7,067.00","7,099.00","7,030.30","113.48M","0.20%"
"Aug 31, 2007","7,063.90","6,961.20","7,063.90","6,923.30","226.96M","2.03%"
"Aug 30, 2007","6,923.30","6,944.20","7,020.90","6,903.30","177.00M","0.01%"
"Aug 29, 2007","6,922.90","6,997.60","6,998.60","6,861.30","210.39M","-1.53%"
"Aug 28, 2007","7,030.40","7,024.10","7,031.80","6,965.70","381.51M","0.01%"
"Aug 27, 2007","7,029.60","6,983.10","7,070.00","6,982.60","265.25M","0.98%"
"Aug 24, 2007","6,961.10","7,016.40","7,016.40","6,944.60","229.11M","-0.87%"
"Aug 23, 2007","7,022.20","6,913.80","7,053.70","6,913.80","318.72M","1.88%"
"Aug 22, 2007","6,892.50","6,851.80","6,941.10","6,820.30","281.43M","0.41%"
"Aug 21, 2007","6,864.10","6,783.30","6,864.20","6,721.30","169.82M","1.10%"
"Aug 20, 2007","6,789.50","6,534.80","6,789.50","6,531.80","197.94M","4.54%"
"Aug 17, 2007","6,494.80","6,497.00","6,587.00","6,444.40","255.73M","0.15%"
"Aug 16, 2007","6,485.30","6,566.30","6,567.40","6,215.10","416.35M","-1.32%"
"Aug 15, 2007","6,571.80","6,738.00","6,738.00","6,571.80","325.08M","-2.82%"
"Aug 14, 2007","6,762.50","6,843.30","6,843.70","6,723.10","201.38M","-1.20%"
"Aug 13, 2007","6,844.60","6,746.70","6,870.30","6,746.70","171.26M","1.58%"
"Aug 10, 2007","6,738.30","6,927.20","6,927.20","6,738.30","267.50M","-3.30%"
"Aug 09, 2007","6,967.90","6,861.40","6,967.90","6,858.30","248.20M","1.74%"
"Aug 08, 2007","6,848.70","6,738.50","6,864.40","6,738.50","235.18M","1.77%"
"Aug 07, 2007","6,729.70","6,657.90","6,754.00","6,656.80","198.91M","1.50%"
"Aug 06, 2007","6,630.30","6,729.00","6,729.00","6,604.10","136.18M","-1.59%"
"Aug 03, 2007","6,737.30","6,748.60","6,793.70","6,696.80","183.17M","-0.02%"
"Aug 02, 2007","6,738.40","6,662.70","6,776.80","6,603.30","285.23M","1.61%"
"Aug 01, 2007","6,631.50","6,852.10","6,852.10","6,631.50","344.49M","-3.37%"
"Jul 31, 2007","6,862.80","6,856.00","6,869.30","6,821.50","204.64M","0.21%"
"Jul 30, 2007","6,848.70","6,841.00","6,851.50","6,766.20","250.68M","0.03%"
"Jul 27, 2007","6,846.60","6,994.10","6,994.10","6,846.60","345.14M","-2.59%"
"Jul 26, 2007","7,028.50","7,111.10","7,132.20","7,028.50","285.73M","-1.10%"
"Jul 25, 2007","7,106.40","7,162.50","7,162.50","7,099.50","174.66M","-0.99%"
"Jul 24, 2007","7,177.50","7,150.60","7,194.80","7,149.70","224.05M","0.44%"
"Jul 23, 2007","7,146.40","7,183.90","7,183.90","7,116.20","153.88M","-0.60%"
"Jul 20, 2007","7,189.60","7,161.90","7,194.40","7,161.90","294.00M","0.46%"
"Jul 19, 2007","7,157.00","7,102.90","7,163.90","7,102.10","285.58M","0.85%"
"Jul 18, 2007","7,096.60","7,110.30","7,124.30","7,068.10","180.79M","-0.26%"
"Jul 17, 2007","7,114.90","7,095.40","7,127.60","7,090.00","152.93M","0.30%"
"Jul 16, 2007","7,093.50","7,073.90","7,115.80","7,073.80","153.51M","0.31%"
