"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 09, 2009","1,249.30","1,230.90","1,249.90","1,228.50","69.60M","1.35%"
"Jul 08, 2009","1,232.70","1,235.80","1,235.80","1,213.30","140.88M","-0.59%"
"Jul 07, 2009","1,240.00","1,251.70","1,251.70","1,238.50","42.35M","-0.87%"
"Jul 06, 2009","1,250.90","1,264.50","1,264.50","1,243.80","46.01M","-1.11%"
"Jul 03, 2009","1,264.90","1,281.70","1,281.70","1,259.50","63.18M","-1.43%"
"Jul 02, 2009","1,283.30","1,286.70","1,294.40","1,280.50","86.25M","-0.13%"
"Jul 01, 2009","1,285.00","1,307.20","1,307.70","1,279.40","53.96M","-1.89%"
"Jun 30, 2009","1,309.80","1,272.30","1,309.80","1,272.10","109.30M","3.13%"
"Jun 29, 2009","1,270.10","1,279.80","1,282.00","1,270.10","36.13M","-0.71%"
"Jun 26, 2009","1,279.20","1,265.20","1,282.40","1,265.20","61.03M","1.13%"
"Jun 25, 2009","1,264.90","1,258.10","1,267.10","1,254.80","52.70M","0.53%"
"Jun 24, 2009","1,258.20","1,250.80","1,262.50","1,245.80","65.95M","0.66%"
"Jun 23, 2009","1,249.90","1,274.60","1,274.90","1,242.60","52.85M","-2.11%"
"Jun 22, 2009","1,276.80","1,269.80","1,276.80","1,265.90","62.56M","0.52%"
"Jun 19, 2009","1,270.20","1,271.20","1,277.30","1,262.90","64.80M","-0.09%"
"Jun 18, 2009","1,271.30","1,269.70","1,277.80","1,266.20","117.83M","0.23%"
"Jun 17, 2009","1,268.40","1,294.40","1,294.80","1,264.70","71.37M","-2.01%"
"Jun 16, 2009","1,294.40","1,305.20","1,305.80","1,286.90","64.53M","-0.98%"
"Jun 15, 2009","1,307.20","1,314.80","1,316.70","1,304.30","69.61M","-0.57%"
"Jun 12, 2009","1,314.70","1,331.70","1,334.00","1,311.20","68.39M","-1.16%"
"Jun 11, 2009","1,330.10","1,328.30","1,331.50","1,311.70","89.47M","0.27%"
"Jun 10, 2009","1,326.50","1,294.30","1,326.50","1,292.90","73.11M","2.51%"
"Jun 09, 2009","1,294.00","1,291.60","1,307.60","1,288.00","54.12M","0.05%"
"Jun 05, 2009","1,293.40","1,298.40","1,311.60","1,287.30","62.35M","-0.25%"
"Jun 04, 2009","1,296.70","1,310.50","1,310.70","1,294.80","53.86M","-1.23%"
"Jun 03, 2009","1,312.90","1,286.10","1,316.50","1,286.00","89.05M","2.09%"
"Jun 02, 2009","1,286.00","1,257.30","1,288.20","1,257.30","87.93M","2.57%"
"Jun 01, 2009","1,253.80","1,241.60","1,254.60","1,231.00","68.18M","1.00%"
"May 29, 2009","1,241.40","1,226.60","1,249.90","1,226.00","58.82M","1.20%"
"May 28, 2009","1,226.70","1,226.40","1,228.50","1,214.30","63.67M","-0.21%"
"May 27, 2009","1,229.30","1,218.50","1,244.40","1,217.90","74.41M","1.00%"
"May 26, 2009","1,217.10","1,219.70","1,220.00","1,211.40","33.63M","-0.27%"
"May 25, 2009","1,220.40","1,225.00","1,232.40","1,214.80","50.69M","-0.41%"
"May 22, 2009","1,225.40","1,243.30","1,243.60","1,223.30","72.29M","-1.53%"
"May 21, 2009","1,244.50","1,244.40","1,245.20","1,231.30","85.84M","0.03%"
"May 20, 2009","1,244.10","1,257.70","1,266.00","1,237.60","57.44M","-1.10%"
"May 19, 2009","1,257.90","1,218.00","1,260.10","1,217.70","47.36M","3.34%"
"May 18, 2009","1,217.20","1,240.00","1,240.80","1,213.50","36.22M","-2.10%"
"May 15, 2009","1,243.30","1,243.50","1,254.80","1,239.20","44.88M","0.31%"
"May 14, 2009","1,239.50","1,267.20","1,267.40","1,233.30","96.78M","-2.39%"
"May 13, 2009","1,269.80","1,283.20","1,287.00","1,261.30","97.64M","-0.94%"
"May 12, 2009","1,281.80","1,285.50","1,286.30","1,262.90","100.32M","-0.55%"
"May 11, 2009","1,288.90","1,287.50","1,289.30","1,272.70","49.33M","0.05%"
"May 08, 2009","1,288.30","1,289.10","1,292.50","1,280.30","44.06M","-0.26%"
"May 07, 2009","1,291.60","1,265.20","1,299.10","1,264.60","95.75M","2.43%"
"May 06, 2009","1,260.90","1,279.50","1,283.90","1,254.40","61.62M","-1.47%"
"May 05, 2009","1,279.70","1,271.70","1,299.60","1,271.50","84.51M","0.87%"
"May 04, 2009","1,268.60","1,232.90","1,268.60","1,232.90","46.22M","3.05%"
"May 01, 2009","1,231.10","1,242.00","1,243.10","1,228.00","34.24M","-1.21%"
"Apr 30, 2009","1,246.20","1,204.60","1,251.80","1,204.20","74.93M","3.77%"
"Apr 29, 2009","1,200.90","1,178.50","1,203.70","1,178.50","64.99M","2.02%"
"Apr 28, 2009","1,177.10","1,188.70","1,200.30","1,173.80","63.96M","-1.07%"
"Apr 27, 2009","1,189.80","1,174.90","1,192.70","1,171.50","51.67M","1.35%"
"Apr 24, 2009","1,173.90","1,187.40","1,188.10","1,167.50","69.34M","-1.05%"
"Apr 23, 2009","1,186.40","1,175.90","1,193.70","1,175.60","61.32M","0.86%"
"Apr 22, 2009","1,176.30","1,178.30","1,188.00","1,173.10","56.07M","-0.90%"
"Apr 21, 2009","1,187.00","1,203.50","1,203.50","1,170.70","38.91M","-1.58%"
"Apr 20, 2009","1,206.00","1,204.50","1,210.50","1,193.50","37.57M","0.16%"
"Apr 17, 2009","1,204.10","1,196.70","1,221.20","1,195.90","45.27M","0.80%"
"Apr 16, 2009","1,194.50","1,185.20","1,203.90","1,185.20","53.12M","1.05%"
"Apr 15, 2009","1,182.10","1,176.90","1,184.30","1,169.50","52.44M","0.43%"
