"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 30, 2013","10,021.12","9,994.80","10,021.12","9,967.40","9.16M","0.19%"
"Dec 29, 2013","10,002.10","9,994.80","10,016.50","9,967.40","1.45M","0.07%"
"Dec 27, 2013","9,994.82","9,987.10","10,051.60","9,974.50","7.00M","-0.48%"
"Dec 26, 2013","10,043.50","9,987.10","10,051.60","9,974.50","1.64M","0.57%"
"Dec 24, 2013","9,987.07","9,933.20","10,016.50","9,930.20","11.28M","0.54%"
"Dec 23, 2013","9,933.20","9,872.10","9,934.10","9,867.60","14.67M","0.13%"
"Dec 22, 2013","9,920.00","9,872.10","9,930.60","9,872.10","2.13M","0.49%"
"Dec 20, 2013","9,872.08","9,794.90","9,872.10","9,786.70","54.23M","0.79%"
"Dec 19, 2013","9,794.95","9,598.60","9,794.90","9,598.60","29.13M","2.05%"
"Dec 18, 2013","9,598.63","9,688.20","9,697.70","9,574.20","19.49M","-0.92%"
"Dec 17, 2013","9,688.24","9,562.50","9,688.24","9,562.50","20.56M","1.32%"
"Dec 16, 2013","9,562.46","9,536.50","9,587.80","9,514.10","19.45M","-0.09%"
"Dec 15, 2013","9,571.10","9,536.50","9,582.70","9,514.10","3.35M","0.36%"
"Dec 13, 2013","9,536.55","9,519.00","9,553.50","9,470.50","28.71M","0.18%"
"Dec 12, 2013","9,519.02","9,494.90","9,592.30","9,452.20","35.14M","0.25%"
"Dec 11, 2013","9,494.85","9,589.40","9,589.40","9,494.90","22.31M","-0.99%"
"Dec 10, 2013","9,589.42","9,631.10","9,636.80","9,582.80","24.97M","-0.43%"
"Dec 09, 2013","9,631.12","9,637.10","9,705.20","9,609.90","22.86M","-0.27%"
"Dec 08, 2013","9,657.60","9,637.10","9,705.20","9,637.10","3.83M","0.21%"
"Dec 06, 2013","9,637.09","9,629.20","9,698.60","9,627.70","24.13M","0.08%"
"Dec 05, 2013","9,629.18","9,777.30","9,778.20","9,629.18","24.33M","-1.51%"
