"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 20, 2012","3,282.43","3,256.90","3,287.40","3,251.30","98.04M","0.78%"
"Jul 19, 2012","3,256.90","3,208.80","3,256.90","3,208.80","86.45M","1.50%"
"Jul 18, 2012","3,208.81","3,202.60","3,218.80","3,202.60","58.30M","0.19%"
"Jul 17, 2012","3,202.57","3,201.20","3,208.00","3,191.30","57.43M","0.04%"
"Jul 16, 2012","3,201.24","3,183.10","3,227.10","3,183.10","66.78M","0.57%"
"Jul 13, 2012","3,183.07","3,182.80","3,209.00","3,182.80","93.52M","0.01%"
"Jul 12, 2012","3,182.85","3,176.40","3,200.00","3,176.40","79.01M","0.20%"
"Jul 11, 2012","3,176.35","3,211.40","3,211.40","3,175.40","86.32M","-1.09%"
"Jul 10, 2012","3,211.40","3,244.80","3,250.40","3,204.60","94.30M","-1.03%"
"Jul 09, 2012","3,244.76","3,271.10","3,271.10","3,241.40","45.96M","-0.80%"
"Jul 06, 2012","3,271.06","3,285.40","3,285.40","3,264.40","52.24M","-0.44%"
"Jul 05, 2012","3,285.36","3,284.70","3,297.60","3,278.30","67.97M","0.02%"
"Jul 04, 2012","3,284.72","3,252.40","3,284.70","3,252.40","67.99M","0.99%"
"Jul 03, 2012","3,252.39","3,269.50","3,270.20","3,247.30","37.44M","-0.52%"
"Jul 02, 2012","3,269.53","3,241.10","3,286.60","3,241.10","56.79M","0.88%"
"Jun 29, 2012","3,241.09","3,187.10","3,266.20","3,186.10","68.96M","1.69%"
"Jun 28, 2012","3,187.08","3,184.70","3,217.70","3,183.40","49.40M","0.07%"
"Jun 27, 2012","3,184.70","3,163.10","3,184.70","3,158.40","63.15M","0.68%"
"Jun 26, 2012","3,163.05","3,198.40","3,198.40","3,159.00","59.92M","-1.10%"
"Jun 25, 2012","3,198.37","3,232.90","3,235.70","3,172.70","46.84M","-1.07%"
"Jun 22, 2012","3,232.89","3,260.00","3,260.00","3,230.00","54.84M","-0.83%"
"Jun 21, 2012","3,260.03","3,288.20","3,288.20","3,257.90","91.77M","-0.86%"
"Jun 20, 2012","3,288.20","3,295.30","3,316.10","3,277.30","99.80M","-0.22%"
"Jun 19, 2012","3,295.34","3,334.40","3,334.40","3,289.10","48.89M","-1.17%"
"Jun 18, 2012","3,334.45","3,257.70","3,334.40","3,257.70","123.04M","2.36%"
"Jun 15, 2012","3,257.67","3,248.20","3,268.10","3,246.90","68.80M","0.29%"
"Jun 14, 2012","3,248.25","3,264.90","3,264.90","3,231.50","53.27M","-0.51%"
"Jun 13, 2012","3,264.94","3,283.80","3,293.10","3,247.50","69.17M","-0.57%"
"Jun 12, 2012","3,283.80","3,259.50","3,301.90","3,255.50","107.89M","0.74%"
"Jun 08, 2012","3,259.53","3,328.70","3,328.70","3,259.30","173.50M","-2.08%"
"Jun 07, 2012","3,328.67","3,319.00","3,360.90","3,316.20","122.88M","0.29%"
"Jun 06, 2012","3,318.98","3,339.20","3,353.30","3,316.50","93.42M","-0.61%"
"Jun 05, 2012","3,339.25","3,303.00","3,339.20","3,298.10","98.59M","1.10%"
"Jun 04, 2012","3,303.03","3,392.60","3,392.60","3,303.00","44.36M","-2.64%"
"Jun 01, 2012","3,392.62","3,438.00","3,438.00","3,382.30","58.90M","-1.32%"
"May 31, 2012","3,437.99","3,411.10","3,438.00","3,373.90","66.85M","0.79%"
"May 30, 2012","3,411.14","3,425.00","3,425.00","3,382.70","48.40M","-0.41%"
"May 29, 2012","3,425.05","3,387.00","3,436.70","3,362.20","49.76M","1.12%"
"May 28, 2012","3,387.02","3,369.80","3,389.70","3,359.60","43.80M","0.51%"
"May 25, 2012","3,369.76","3,387.70","3,398.50","3,358.90","42.79M","-0.51%"
"May 24, 2012","3,386.99","3,398.20","3,422.10","3,381.30","52.65M","-0.42%"
"May 23, 2012","3,401.43","3,454.60","3,456.50","3,397.40","51.79M","-1.57%"
"May 22, 2012","3,455.57","3,389.20","3,455.60","3,389.10","61.76M","2.32%"
"May 21, 2012","3,377.26","3,392.10","3,419.90","3,347.40","48.25M","-0.21%"
"May 18, 2012","3,384.44","3,465.60","3,465.60","3,379.60","56.58M","-2.68%"
"May 17, 2012","3,477.77","3,474.10","3,481.50","3,449.10","65.21M","0.18%"
"May 16, 2012","3,471.51","3,570.00","3,570.30","3,471.50","80.63M","-3.17%"
"May 15, 2012","3,585.00","3,617.90","3,617.90","3,583.40","61.93M","-1.02%"
"May 14, 2012","3,622.06","3,615.60","3,629.40","3,614.10","48.71M","0.25%"
"May 11, 2012","3,613.06","3,616.80","3,626.90","3,600.00","40.10M","-0.08%"
"May 10, 2012","3,615.84","3,572.00","3,627.50","3,572.00","57.61M","1.33%"
"May 09, 2012","3,568.27","3,620.00","3,623.40","3,557.30","62.57M","-1.59%"
"May 08, 2012","3,626.09","3,606.10","3,629.50","3,606.10","56.39M","0.69%"
"May 07, 2012","3,601.25","3,668.50","3,668.50","3,601.30","63.22M","-2.40%"
"May 04, 2012","3,689.76","3,739.30","3,739.30","3,682.00","60.75M","-1.50%"
"May 03, 2012","3,745.88","3,765.70","3,770.40","3,745.90","56.43M","-0.64%"
"May 02, 2012","3,770.03","3,780.60","3,792.80","3,766.40","50.33M","0.08%"
"May 01, 2012","3,766.87","3,753.80","3,779.30","3,747.40","65.93M","0.37%"
"Apr 30, 2012","3,752.94","3,728.40","3,757.70","3,727.60","59.88M","0.79%"
"Apr 27, 2012","3,723.43","3,727.70","3,735.10","3,716.50","63.08M","-0.06%"
"Apr 26, 2012","3,725.56","3,715.80","3,745.80","3,715.80","44.27M","0.56%"
"Apr 24, 2012","3,704.88","3,705.10","3,723.90","3,697.50","49.95M","0.06%"
"Apr 23, 2012","3,702.65","3,721.10","3,722.60","3,700.90","35.41M","-0.60%"
"Apr 20, 2012","3,724.83","3,730.70","3,738.10","3,714.10","39.33M","-0.38%"
"Apr 19, 2012","3,739.04","3,732.80","3,757.10","3,730.20","48.59M","0.14%"
"Apr 18, 2012","3,733.83","3,702.00","3,748.20","3,702.00","39.02M","1.17%"
"Apr 17, 2012","3,690.54","3,700.70","3,726.00","3,689.10","33.27M","-0.28%"
"Apr 16, 2012","3,701.01","3,696.90","3,712.60","3,676.80","36.17M","-0.12%"
"Apr 13, 2012","3,705.61","3,698.80","3,725.60","3,698.70","38.30M","0.59%"
"Apr 12, 2012","3,684.00","3,643.20","3,684.00","3,640.00","40.14M","1.07%"
"Apr 11, 2012","3,644.99","3,678.60","3,679.70","3,645.00","46.68M","-1.10%"
"Apr 10, 2012","3,685.40","3,696.90","3,697.70","3,662.80","47.34M","-0.46%"
"Apr 05, 2012","3,702.39","3,709.80","3,714.70","3,683.60","50.46M","-0.43%"
"Apr 04, 2012","3,718.29","3,755.90","3,758.50","3,707.30","71.74M","-0.93%"
"Apr 03, 2012","3,753.01","3,764.10","3,769.80","3,750.50","81.90M","-0.32%"
"Apr 02, 2012","3,765.01","3,800.90","3,807.70","3,755.20","65.27M","-0.74%"
"Mar 30, 2012","3,793.24","3,778.70","3,805.40","3,770.00","77.57M","0.46%"
"Mar 29, 2012","3,775.76","3,803.40","3,803.40","3,768.60","51.15M","-0.76%"
"Mar 28, 2012","3,804.82","3,767.00","3,804.82","3,761.80","54.37M","0.90%"
"Mar 27, 2012","3,770.90","3,750.10","3,779.10","3,749.90","50.23M","0.88%"
"Mar 26, 2012","3,737.99","3,738.00","3,762.00","3,731.00","49.05M","0.11%"
"Mar 23, 2012","3,734.06","3,735.20","3,738.40","3,704.60","52.82M","-0.23%"
"Mar 22, 2012","3,742.60","3,750.20","3,750.20","3,732.90","62.66M","-0.27%"
"Mar 21, 2012","3,752.70","3,755.60","3,757.90","3,730.10","66.72M","-0.33%"
"Mar 20, 2012","3,765.23","3,814.90","3,814.90","3,763.90","175.46M","-1.31%"
"Mar 19, 2012","3,815.19","3,800.90","3,825.30","3,799.90","68.37M","0.48%"
"Mar 16, 2012","3,797.00","3,803.00","3,816.10","3,792.30","64.75M","-0.19%"
"Mar 15, 2012","3,804.40","3,785.40","3,804.40","3,778.00","68.07M","0.25%"
"Mar 14, 2012","3,794.84","3,774.60","3,809.70","3,773.10","63.43M","0.80%"
"Mar 13, 2012","3,764.89","3,709.00","3,773.00","3,709.00","54.13M","1.70%"
"Mar 12, 2012","3,702.08","3,698.60","3,711.10","3,687.10","40.04M","-0.07%"
"Mar 09, 2012","3,704.49","3,690.00","3,705.00","3,674.00","76.80M","0.57%"
"Mar 08, 2012","3,683.49","3,640.00","3,683.60","3,639.70","60.48M","1.48%"
"Mar 07, 2012","3,629.94","3,696.90","3,696.90","3,629.90","57.40M","-2.12%"
"Mar 06, 2012","3,708.66","3,761.10","3,763.10","3,708.20","79.28M","-1.42%"
"Mar 05, 2012","3,762.26","3,753.50","3,771.40","3,750.00","39.36M","-0.03%"
"Mar 02, 2012","3,763.32","3,741.60","3,771.40","3,741.20","48.89M","0.70%"
"Mar 01, 2012","3,737.18","3,769.70","3,769.70","3,716.70","55.32M","-0.92%"
"Feb 29, 2012","3,771.90","3,747.10","3,785.40","3,747.10","62.28M","0.72%"
"Feb 28, 2012","3,745.08","3,737.40","3,762.70","3,730.50","60.26M","0.25%"
"Feb 27, 2012","3,735.71","3,763.70","3,765.90","3,729.10","40.44M","-0.72%"
"Feb 24, 2012","3,762.85","3,725.10","3,764.30","3,725.10","58.48M","1.01%"
"Feb 23, 2012","3,725.22","3,710.40","3,725.50","3,697.80","49.03M","0.31%"
"Feb 22, 2012","3,713.75","3,692.80","3,721.30","3,682.50","69.19M","0.40%"
"Feb 21, 2012","3,699.12","3,637.90","3,699.90","3,635.00","78.38M","1.57%"
"Feb 20, 2012","3,641.97","3,589.30","3,642.00","3,587.60","40.82M","1.96%"
"Feb 17, 2012","3,572.05","3,561.60","3,572.00","3,547.80","48.69M","0.44%"
"Feb 16, 2012","3,556.29","3,576.90","3,578.50","3,545.20","96.79M","-1.25%"
"Feb 15, 2012","3,601.23","3,573.40","3,601.20","3,565.70","45.82M","0.78%"
"Feb 14, 2012","3,573.47","3,609.20","3,610.90","3,566.80","58.66M","-1.18%"
"Feb 13, 2012","3,616.26","3,604.60","3,616.30","3,586.40","47.26M","0.45%"
"Feb 10, 2012","3,599.96","3,615.50","3,629.00","3,594.70","49.40M","-0.33%"
"Feb 09, 2012","3,611.96","3,598.10","3,612.00","3,567.80","53.67M","0.21%"
"Feb 08, 2012","3,604.23","3,593.80","3,614.40","3,593.10","53.38M","0.24%"
"Feb 07, 2012","3,595.51","3,599.10","3,636.60","3,595.50","49.13M","-0.36%"
"Feb 06, 2012","3,608.49","3,588.20","3,628.40","3,584.80","48.03M","1.06%"
"Feb 03, 2012","3,570.55","3,570.90","3,580.60","3,561.40","61.31M","0.15%"
